Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BeagleBeer.brd" as of: 4/12/2013 11:06:14 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,4.012,1.475,0
C2,Top,4.612,1.485,0
C3,Top,3.082,2.405,270
C4,Top,3.242,2.475,0
C5,Top,2.072,0.315,270
C6,Top,1.822,0.065,0
C7,Top,3.852,1.655,90
C8,Top,1.380,1.860,0
C9,Top,1.380,1.420,0
C10,Top,1.380,1.550,0
C11,Top,1.370,1.120,0
C13,Top,2.822,1.485,270
C14,Top,2.462,1.475,270
C15,Top,2.832,2.025,90
C16,Top,2.412,2.025,90
D1,Top,4.552,3.365,0
D2,Top,3.682,3.355,0
D3,Top,2.752,3.355,0
D4,Top,1.952,3.345,0
LED1,Top,4.602,3.485,0
LED2,Top,3.672,3.465,0
LED3,Top,2.742,3.465,0
LED4,Top,1.932,3.465,0
LED5,Top,3.972,2.455,0
LED6,Top,4.402,1.345,0
LED7,Top,4.402,1.075,0
LED8,Top,4.412,0.755,0
LED9,Top,4.402,0.505,0
Q1,Top,4.632,3.245,270
Q2,Top,3.692,3.245,270
Q3,Top,2.752,3.245,270
Q4,Top,1.992,3.215,270
Q5,Top,4.612,1.345,90
Q6,Top,4.602,1.075,90
Q7,Top,4.622,0.765,90
Q8,Top,4.612,0.505,90
Q9,Top,1.360,1.270,90
Q10,Top,1.390,1.710,0
R1,Top,4.362,3.395,180
R2,Top,3.532,3.355,180
R3,Top,2.602,3.355,0
R4,Top,1.762,3.375,0
R5,Top,4.362,3.285,0
R6,Top,4.462,3.255,90
R7,Top,3.462,3.265,0
R8,Top,3.582,3.185,90
R9,Top,2.632,3.175,90
R10,Top,2.522,3.245,0
R11,Top,1.822,3.255,0
R12,Top,1.882,3.145,90
R13,Top,4.362,1.455,0
R14,Top,4.372,1.185,0
R15,Top,0.922,2.055,0
R16,Top,0.922,1.945,0
R17,Top,1.140,1.270,180
R18,Top,1.150,1.710,180
R19,Top,3.802,2.455,0
R20,Top,4.612,1.235,0
R21,Top,4.732,1.325,270
R22,Top,0.921,1.327,0
R23,Top,4.622,0.955,0
R24,Top,4.732,1.065,270
R25,Top,0.923,1.213,0
R26,Top,0.918,1.561,0
R27,Top,0.922,1.443,0
R28,Top,4.372,0.875,0
R29,Top,4.622,0.645,0
R30,Top,4.742,0.763,270
R31,Top,4.362,0.615,0
R32,Top,4.732,0.435,270
R33,Top,4.622,0.395,0
R34,Top,4.012,1.405,180
R35,Top,3.782,1.085,0
R36,Top,3.782,1.015,0
R37,Top,3.782,0.855,0
R38,Top,3.782,0.785,0
R39,Top,1.140,1.420,180
R40,Top,1.140,1.570,180
TP2,Top,4.192,1.475,0
U1,Top,1.172,2.045,0
U2,Top,2.632,1.225,270
U3,Top,2.632,1.855,270
U4,Top,4.020,2.820,0
